,titles,dates,origin,section,ID,exclusion_reason
43,"Politics Insider: Bank of Canada Governor warns trade war would permanently weaken the Canadian economy:   The central bank has few tools to respond to a structural shift toward protectionism, Governor Tiff Macklem says",2025-02-21, The Globe and Mail (Online); Toronto, Politics,3169203283,Federal economic policy (Bank of Canada Governor on trade war)
45,"Ottawa to remove majority of exceptions from Canada Free Trade Agreement, source says:   Move is part of a push to liberalize trade within the country as U.S. President Donald Trump threatens to impose broad-based tariffs",2025-02-21, The Globe and Mail (Online); Toronto, Business,3169119641,Federal internal-trade policy (Canadian Free Trade Agreement exceptions)
46,"Changemakers: Meet 20 emerging leaders reinventing how Canada does business:   These young entrepreneurs, academics, activists and other professionals are devoted to making the world a better place",2025-02-21, The Globe and Mail (Online); Toronto, Business,3169112289,Business feature (Changemakers list of emerging business leaders)
47,"Feds investigating use of algorithm for rental prices, the Home of the Week and more top real estate stories:   Plus, has Doug Ford kept his promises on housing?",2025-02-21, The Globe and Mail (Online); Toronto, Business,3169104026,Real estate news roundup led by federal rental-pricing algorithm probe
48,Friday’s analyst upgrades and downgrades:   Inside the Market’s roundup of some of today’s key analyst actions,2025-02-21, The Globe and Mail (Online); Toronto, Business,3169082995,Stock market analyst upgrades and downgrades
49,Morning Update: Germany’s surging far right:   Also in today’s edition: A resignation in PEI and tumult at GFL,2025-02-21, The Globe and Mail (Online); Toronto, National,3169064858,"News digest (Germany election, PEI resignation, GFL); no Ontario election focus"
50,"B’NAI BRITH CANADA CEO FOUGHT TIRELESSLY AGAINST ANTISEMITISM:   While his professional life was marked by efforts to protect society’s vulnerable and combat hatred toward Jews, it was his personal approach to these issues that caught people’s attention",2025-02-21," The Globe and Mail; Toronto, Ont.", Sports,3168930974,Obituary (B'nai Brith Canada CEO Michael Mostyn)
51,"Loblaw expects tariffs to boost sales of local brands:   CEO concerned about inflationary pressure the levies would cause, pushing up prices of U.S.-made products",2025-02-21," The Globe and Mail; Toronto, Ont.", Report on Business,3168929550,Corporate/tariff-impact story (Loblaw)
52,"Nova Scotia will table bill to ease interprovincial trade barriers:   Legislation would lift restrictions on goods, services for those that pass similar laws",2025-02-21," The Globe and Mail; Toronto, Ont.", News,3168929536,Nova Scotia interprovincial trade legislation
55,"Dhalla says Liberal Party is unfairly targeting her campaign:   In a social-media post, the leadership candidate suggested that the party has been trying to link her efforts to foreign interference",2025-02-21," The Globe and Mail; Toronto, Ont.", News,3168928994,Federal Liberal Party leadership race (Ruby Dhalla)
56,"PEI Premier King resigns, with Education Minister Lantz set to take his place",2025-02-21," The Globe and Mail; Toronto, Ont.", News,3168928981,PEI provincial politics (Premier King resignation)
58,Nova Scotia vows to lift internal trade barriers for provinces that pass similar laws:   Interprovincial barriers have been identified by policy makers as an area for reform that would deliver an economic boost,2025-02-20, The Globe and Mail (Online); Toronto, Business,3168875600,Nova Scotia interprovincial trade legislation
59,"PEI Premier Dennis King resigns, with Education Minister Rob Lantz set to take his place:   Lantz was first elected as an MLA for Charlottetown-Brighton in 2023 and previously led the PCs during the 2015 election",2025-02-20, The Globe and Mail (Online); Toronto, National,3168842877,PEI provincial politics (Premier King resignation)
60,"Politics Insider: PEI Premier to step down Friday, says he never wanted to be a ‘lifer’:   Dennis King says issues with the U.S. require someone with more sustained focus",2025-02-20, The Globe and Mail (Online); Toronto, Politics,3168804043,PEI provincial politics (Premier King resignation)
61,"B’nai Brith Canada CEO Michael Mostyn fought tirelessly against antisemitism:   While his professional life was marked by efforts to protect society’s vulnerable and combat hatred toward Jews, it was his approach to these issues that caught people’s attention",2025-02-20, The Globe and Mail (Online); Toronto, National,3168804042,Obituary (B'nai Brith Canada CEO Michael Mostyn)
63,"Liberal Party says questions about Ruby Dhalla’s leadership campaign are unrelated to foreign interference by Indian government:   Dhalla campaign says it’s reviewing a list, which Liberal sources say includes queries about donations and volunteers",2025-02-20, The Globe and Mail (Online); Toronto, Politics,3168662957,Federal Liberal Party leadership race (Ruby Dhalla)
64,"Loblaw fourth-quarter profit dips on PC Optimum charge:   Retailer sees surge in people participating in loyalty program, redeeming points as shoppers look to save money",2025-02-20, The Globe and Mail (Online); Toronto, Business,3168638220,Corporate earnings (Loblaw Q4 profit)
65,"Toronto firm LGA is one of the bright lights in Canadian architecture:   At a time when design is in a sad state in most of the country, Toronto firm LGA sets the stage for collective joy",2025-02-20, The Globe and Mail (Online); Toronto, Entertainment,3168637866,Architecture/design feature (Toronto firm LGA)
66,Morning Update: Should we panic about bird flu?:   Also in today’s edition: High-speed rail and a high-stakes hockey final,2025-02-20, The Globe and Mail (Online); Toronto, National,3168628731,"News digest (bird flu, high-speed rail, hockey final)"
67,Liberal Party questions leadership candidate Ruby Dhalla over possible interference from India:   Sources say questions involve meddling by Modi government and backroom involvement in her campaign by Conservatives,2025-02-20, The Globe and Mail (Online); Toronto, Politic s,3168612131,Federal Liberal Party leadership race (Ruby Dhalla)
68,Prime Minister lays out plans for high-speed rail:   Costs of Quebec City to Toronto line estimated between $60-billion and $90-billion: project CEO,2025-02-20," The Globe and Mail; Toronto, Ont.", News,3168511185,Federal infrastructure project (Quebec City-Toronto high-speed rail)
69,"Liberals question Dhalla about possible interference from India:   Party also asks leadership hopeful about alleged campaign irregularities, sources say",2025-02-20," The Globe and Mail; Toronto, Ont.", News,3168511181,Federal Liberal Party leadership race (Ruby Dhalla)
70,"Fight trade battle with clean energy investments, Sabia says",2025-02-20," The Globe and Mail; Toronto, Ont.", Report on Business,3168511177,Federal/Quebec trade-strategy commentary (Hydro-Quebec CEO Sabia)
71,Unreal rail plan shows Liberals ran out of time on transport dream,2025-02-20," The Globe and Mail; Toronto, Ont.", News,3168511174,Federal infrastructure column (high-speed rail)
74,"Canada needs to think big and stand up to Trump, Hydro-Québec CEO says:   Michael Sabia says big thinking and big investments in things such as clean energ y are the best way to fight U.S. protectionism",2025-02-19, The Globe and Mail (Online); Toronto, Business,3168430428,Federal/Quebec trade-strategy commentary (Hydro-Quebec CEO Sabia)
75,Justin Trudeau’s unreal rail plan:   This government has run out of time to make the high-speed rail dream come true,2025-02-19, The Globe and Mail (Online); Toronto, Politics,3168429626,Federal infrastructure column (high-speed rail)
76,"Want an affordable supercar you can have fun with? The passion for Hot Wheels:   At the Canadian International AutoShow in Toronto, a cost-effective way to indulge your automotive whimsy",2025-02-19, The Globe and Mail (Online); Toronto, Other,3168367509,Lifestyle feature (Hot Wheels collecting at the Toronto AutoShow)
77,The Canada-U.S. tariff war is under way in some sectors. Here are the latest updates and what they mean for your finances:   Donald Trump’s trade feud with Canada is upending the North American economy as we know it. Check back here for the latest developments and ideas on what you can do,2025-02-19, The Globe and Mail (Online); Toronto, Politics,3168312165,National Canada-US tariff war tracker
79,Competition Bureau investigates real estate companies’ use of algorithmic pricing to help set rents,2025-02-19," The Globe and Mail; Toronto, Ont.", Report on Business,3168156158,Federal Competition Bureau rental-pricing algorithm probe
81,"Provinces scale back fiscal plans in face of potential trade war:   B.C. signals spending cuts, N.S. prepares reserve fund to shield economy as budget season begins",2025-02-19," The Globe and Mail; Toronto, Ont.", News,3168155543,BC and Nova Scotia provincial budgets ahead of trade war; no Ontario focus
82,Provinces scale back fiscal plans in face of potential trade war:   B.C. signals spending cuts and Nova Scotia prepares reserve fund to shield economy as budget season begins,2025-02-18, The Globe and Mail (Online); Toronto, National,3168117204,BC and Nova Scotia provincial budgets ahead of trade war; no Ontario focus
84,Competition Bureau probes real estate companies’ use of software to help set rents:   The pricing practice allegedly allows landlords to use software to track what their competitors are charging for rent so they can set their prices accordingly,2025-02-18, The Globe and Mail (Online); Toronto, Business,3168063928,Federal Competition Bureau rental-pricing software probe
85,"Politics Insider: When U.S. senators joke about 51st state, Joly won’t have it:   Foreign Minister in conversations about tariffs with American lawmakers at Munich conference",2025-02-18, The Globe and Mail (Online); Toronto, Politics,3168042802,"Federal foreign affairs (Minister Joly, US senators, 51st-state jokes)"
86,Morning Update: Poilievre’s reversal of polling fortune:   Also in today’s edition: The Pearson plane crash and Canada’s Four Nations win,2025-02-18, The Globe and Mail (Online); Toronto, National,3167888519,"News digest (federal Conservative polling, Pearson crash, Four Nations hockey)"
90,"Pearson plane crash live updates: At least 19 injured in plane crash, paramedics say:   All flights at Pearson airport were diverted, as pictures of a Delta Air Lines plane flipped on its back surfaced on social media",2025-02-17, The Globe and Mail (Online); Toronto, Politics,3167727266,Breaking news (Pearson airport plane crash)
94,Métis treaty in limbo with prorogued Parliament on Louis Riel Day,2025-02-17," The Globe and Mail; Toronto, Ont.", News,3167485874,Metis self-government treaty / federal Parliament prorogation / Manitoba
95,"Métis treaty in limbo with prorogued Parliament on Louis Riel Day:   The treaty would grant Métis people an inherent right to self-government and law-making powers over their own citizenship, elections and lands",2025-02-16, The Globe and Mail (Online); Toronto, National,3167407595,Metis self-government treaty / federal Parliament prorogation / Manitoba
99,"‘So, you’re from lberta?’:   In Ontario, I call myself an Albertan. In Alberta, I say that I live in Toronto. The politics of Albertan identity can be confounding, writes Stephen Marche",2025-02-15," The Globe and Mail; Toronto, Ont.", Opinion,3166897338,Personal essay on Albertan identity politics
103,Politics Insider: Canada pulls officers from UN peacekeeping mission in the DRC:   Ottawa cites ‘increasingly perilous security conditions’ in the rebel-held city of Goma,2025-02-14, The Globe and Mail (Online); Toronto, Politics,3166781253,Federal foreign/defence policy (UN peacekeeping withdrawal from DRC)
104,"Anywhere in the world ought to be proud to have produced Chrystia Freeland and Mark Carney. Not Alberta:   Whatever you think of their policy ideas or personal qualities, Freeland and Carney are impressive individuals. Whichever candidate wins the Liberal leadership will almost certainly not receive the support of their home province",2025-02-14, The Globe and Mail (Online); Toronto, Other,3166669563,Federal Liberal leadership race and Alberta politics
107,"The premiers asked to be humiliated in Washington. Wish granted:   As tales of privileged access go, I admit it’s not much of a story. But it’s more than Canada’s premiers can say about their ‘hearing’ at the White House",2025-02-14, The Globe and Mail (Online); Toronto, Business,3166461985,National column on the premiers' collective Washington tariff visit; not Ontario-specific
111,The premiers were humiliated in Washington:   A charm offensive is part of the pers uasion campagin. Wednesday’s visit was not that,2025-02-14," The Globe and Mail; Toronto, Ont.", Report on Business,3166403699,National column on the premiers' collective Washington tariff visit; not Ontario-specific
113,Politics Insider: Carney may call early election if he wins Liberal leadership:   But he may recall Parliament if a certain trade situation warrants it,2025-02-13, The Globe and Mail (Online); Toronto, Politics,3166281015,Federal Liberal leadership race and federal election timing
115,NDP campaign leader urges party to prepare for snap election call,2025-02-13," The Globe and Mail; Toronto, Ont.", News,3165996013,Federal NDP preparations for a snap federal election
116,Politics Insider: Premiers and territorial leaders go to Washington to make case against tariffs:   Provincial leaders to meet with ‘senior advisers’ of U.S. President,2025-02-12, The Globe and Mail (Online); Toronto, Politics,3165899444,News digest on the premiers' collective Washington tariff trip
117,NDP campaign director urges candidates to prepare for quick federal election call in internal memo:   Memo from NDP national campaign director Jennifer Howard says candidates and campaign teams should be ready for a federal election call as early as March 10th,2025-02-12, The Globe and Mail (Online); Toronto, Politics,3165899443,Federal NDP preparations for a snap federal election
118,Premiers and Finance Minister LeBlanc push message of diplomacy in Washington tariff meetings:   LeBlanc said he is optimistic the meetings may be able to avoid additional tariffs on March 12,2025-02-12, The Globe and Mail (Online); Toronto, National,3165775231,Premiers and federal finance minister at Washington tariff meetings; not Ontario-specific
120,"Ottawa should hit the U.S. with a carbon tax:   Canada can’t win outright in a trade war, but it can cause enough pain that Trump decides the fight is not worth it",2025-02-11," The Globe and Mail; Toronto, Ont.", Report on Business,3166893604,Federal trade-war strategy op-ed (carbon border tax)
121,Politics Insider: Trudeau says Trump’s tariffs on steel and aluminum are ‘entirely unjustified’:   CEO of Ford says tariffs on Canadian and Mexican imports would devastate U.S. auto industry,2025-02-11, The Globe an d Mail (Online); Toronto, Politics,3165444989,Federal (Trudeau) response to US steel and aluminum tariffs
123,"Morning Update: The bidding war for family doctors:   Also in today’s edition: Threats to the Gaza ceasefire, and Poilievre’s Arctic plans",2025-02-11, The Globe and Mail (Online); Toronto, National,3165311479,"News digest (family-doctor recruitment, Gaza ceasefire, Poilievre Arctic plan)"
125,"Canadians urged to show national pride on Flag Day, in the face of Trump’s ‘threats and insults’:   Canada’s five living former prime ministers call on Canadians to fly the maple leaf on Feb. 15 on the flag’s 60th anniversary",2025-02-11, The Globe and Mail (Online); Toronto, Politics,3165293841,Federal/national (five former PMs urging Flag Day patriotism)
126,"U.S. revives steel, aluminum tariffs:   Ottawa vows retaliation after Trump signs orders to impose 25% duties on all imports of metals next month",2025-02-11," The Globe and Mail; Toronto, Ont.", News,3165232363,US/federal steel and aluminum tariffs and Ottawa's retaliation
129,Five former PMs unite to urge Canadians to make this Flag Day memorable,2025-02-11," The Globe and Mail; Toronto, Ont.", News,3165232327,Federal/national (five former PMs urging Flag Day patriotism)
130,"Businesses, it’s time to fly the flag and capture long-term market share",2025-02-10," The Globe and Mail; Toronto, Ont.", Report on Business,3165599666,Business-strategy op-ed (Buy Canadian marketing opportunity)
131,"Politics Insider: Two Liberal cabinet ministers announce they will not be running for re-election:   Plus, Trump expected to announce universal tariffs on steel and aluminum",2025-02-10, The Globe and Mail (Online); Toronto, Politics,3165141372,Federal Liberal cabinet retirements and US tariff announcement
132,"The best way to fight Trump’s tariffs is through our carbon tax:   Against U.S. tariffs, Canada should retaliate with a carbon border adjustment – in which countries with carbon taxes impose tariffs on those without",2025-02-10, The Globe and Mail (Online); Toronto, Business,3165121278,Federal trade-war strategy op-ed (carbon border adjustment)
134,Morning Update: How Rwanda fuels Congo’s war:   Also in today’s edition: Premiers head to D.C. and Trudeau hits EuropeHow Rwanda fuels Congo’s war,2025-02-10, The Globe and Mail (Online); Toronto, National,3164939512,"News digest (Congo war, premiers' DC trip, Trudeau in Europe)"
135,"Donald Trump sparked a movement toward economic nationalism. Where will Canadians take it?:   It may be a short-term show of defiance aimed at fending off the President’s threat of 25-per-cent tariffs, or a longer-term movement designed to make Canada less dependent on the U.S.",2025-02-10, The Globe and Mail (Online); Toronto, Politics,3164928558,National feature on Canadian economic nationalism (federal NDP MP Charlie Angus)
136,"POLITICAL OPERATIVE HELPED MULRONE Y BECOME PRIME MINISTER:   While serving in the Senate, he was charged with influence peddling and faced a series of related court battles, resulting in an absolute discharge",2025-02-10," The Globe and Mail; Toronto, Ont.", Sports,NA,Obituary (political operative Michel Cogger)
137,Canadian economic nationalism is back:   Trump sparked a movement. But will it be a short-term show of defiance or a longer change to make us less dependent on the U.S.?,2025-02-10," The Globe and Mail; Toronto, Ont.", News,3164879162,National feature on Canadian economic nationalism
139,"Political operative Michel Cogger helped Brian Mulroney become prime minister:   While serving in the Senate, Cogger was charged with influence peddling and faced a series of related court battles, resulting in an absolute discharge",2025-02-09, The Globe and Mail (Online); Toronto, National,3164817691,Obituary (political operative Michel Cogger)
140,"Businesses, it’s time to fly the flag and capture long-term market share:   With the U.S.-Canada trade war, businesses can seize the moment to reset consumer preferences and capture market share for the long-term",2025-02-09, The Globe and Mail (Online); Toronto, Business,3164817686,Business-strategy op-ed (Buy Canadian marketing opportunity)
141,"DOING THE RIGHT THING IS NEVER EASY:   As workplace diversity initiatives are cut south of the border, the backlash in Canada is looming. If Canad o become the meritocracy it strives to be, writes Debra Thompson, we need to fully embrace DEI",2025-02-08," The Globe and Mail; Toronto, Ont.", Opinion,3165599660,Opinion on DEI / workplace diversity backlash
143,"A Super Bowl guide for Swifties and other football newbies:   Attention Taylor Swift fans: Watching the NFL’s biggest show is now a pledge of Tay-llegiance. If you’re not a football fan, here’s what you need to know",2025-02-08, The Globe and Mail (Online); Toronto, Entertainment,3164594858,Entertainment (Super Bowl guide for Taylor Swift fans)
144,"The name can change, but the work must not: why Canada still needs DEI:   Workplace diversity initiatives are in rapid retreat south of the border, and backlash in Canada is looming. But in order for the country to become the meritocracy it strives to be, we need to fully embrace measures to eliminate barriers in our workplaces",2025-02-08, The Globe and Mail (Online); Toronto, Other,3164594854,Opinion on DEI / workplace diversity
145,"Canada got a reprieve on U.S. tariffs: How it is being used:   Governments at all levels are now facing pressure to ensure they keep up the momentum and not squander an opportunity to finally settle what, in some cases, have been decades-long discussions about Canada’s economy",2025-02-08, The Globe and Mail (Online); Toronto, Politics,3164588227,National analysis of tariff reprieve and internal trade barriers
146,BIRTH AND DEATH NOTICES,2025-02-08," The Globe and Mail; Toronto, Ont.", Sports,3164557364,Birth and death notices
147,"Canada got a reprieve on U.S. tariffs: What’s being done:   Provinces aim to cut trade barriers, fast-track projects and reduce reliance on U.S.",2025-02-08," The Globe and Mail; Toronto, Ont.", News,3164534361,National analysis of tariff reprieve and interprovincial trade barriers
149,Trump set on annexing Canada: Trudeau:   Prime Minister’s remarks at economic summit are the most frank acknowledgment of U.S. President’s interest in Canada becoming the 51st state,2025-02-08," The Globe and Mail; Toronto, Ont.", News,3164534354,Federal (Trudeau) on US annexation threats
151,"‘He sees us as a piggy bank’: How Trump views Canada, and the stealthy patriotism Canadians are showing in response:   Feature writer and columnist Shannon Proudfoot spoke with the Decibel about what Trump’s tariff threats have brought out in Canadians",2025-02-07, The Globe and Mail (Online); Toronto, National,3164440453,National feature on how Trump views Canada and Canadian patriotism
152,Politics Insider: Trudeau says Trump is serious about annexing Canada:   Prime Minister tells economic summit that Trump wants our critical minerals,2025-02-07, The Globe and Mail (Onlin e); Toronto, Politics,3164411069,Federal (Trudeau) on US annexation threats
153,"The Canada-U.S. tariff war is on pause, but not over. Here are the latest updates and what they mean for your finances:   Donald Trump’s trade feud with Canada is upending the North American economy as we know it. Check back here for the latest developments and ideas on what you can do",2025-02-07, The Globe and Mail (Online); Toronto, Politics,3164306371,National Canada-US tariff war tracker
155,How restaurateurs are remaking menus with a focus on fare grown at home:   Businesses mull permanent changes to their dishes and suppliers,2025-02-07," The Globe and Mail; Toronto, Ont.", News,3164184499,Business/food feature (restaurants sourcing local ingredients)
158,Canada should discuss east-west oil pipeline possibility: minister,2025-02-07," The Globe and Mail; Toronto, Ont.", News,3164184483,Federal natural-resources policy (east-west oil pipeline)
161,"How restaurants are rewriting their recipes and menus because of tariffs:   The cost of food purchased from restaurants rose 3.5 per cent from 2023 to 2024, according to Statistics Canada. Tariffs aside, the 2025 Food Price Report, released in December, predicted a 3-to-5-per-cent increase this year",2025-02-06, The Globe and Mail (Online); Toronto, lifeMain,3163901548,Business/food feature (restaurants and tariffs on ingredients)
162,Politics Insider: Trudeau calls summit to brainstorm on dealing with U.S. tariffs:   The Friday summit in Toronto will bring business and labour together to develop coping stra tegies,2025-02-05, The Globe and Mail (Online); Toronto, Politics,3163512269,Federal (Trudeau calls Canada-US Economic Summit on tariffs)
163,"Two new RBC loyalty credit cards are here, but use your points for travel, not groceries:   The new More Rewards RBC Visa is an entry-level card that earns you five More Rewards points per dollar spent at various locations",2025-02-05, The Globe and Mail (Onlin e); Toronto, Business,3163434547,Personal finance (new RBC loyalty credit cards)
164,Morning Update: The barriers to buying Canadian:   Also in today’s edition: The Aga Khan and restaurant first dates,2025-02-05, The Globe and Mail (Online); Toronto, National,3163366609,"News digest (Buy Canadian barriers, Aga Khan, Trump on Gaza)"
166,Politics Insider: LeBlanc asks cabinet colleagues for countertariff ideas:   Finance Minister hoping to include suggestions in next federal budget,2025-02-04, The Globe and Mail (Online); Toronto, Politics,3163240956,Federal fiscal policy (Finance Minister LeBlanc seeking countertariff ideas for federal budget)
168,Stress Test transcript: Is a university or college degree still worth the money?:   Read the transcript for episode two of season ten of Stress Test,2025-02-04, The Globe and Mail (Online); Toronto, Other,3163120052,Personal finance podcast (is a university/college degree worth the money)
169,"B.C. Insider: With tariffs paused, Eby says economic diversification still needed:   Eby said the rupture in the Canada-U.S. relationship won’t be repaired any time soon, and Canada needs to act accordingly",2025-02-04, The Globe and Mail (Online); Toronto, National,3163047305,BC politics (Premier Eby on economic diversification)
170,"Tariff threat lingers, with Trump stressing need for ‘fairness’ in economic deal",2025-02-04," The Globe and Mail; Toronto, Ont.", News,3163036340,Federal/US tariff negotiations (one-month reprieve)
173,"Canada’s Supreme Court marks 150 years:   Justices will tour five cities, coinciding with a landmark case about the limits of Canadians’ Charter rights",2025-02-04," The Globe and Mail; Toronto, Ont.", News,3163035833,Federal judiciary (Supreme Court of Canada 150th anniversary)
174,The NDP used to be the party of labour. What happened?,2025-02-03," The Globe and Mail; Toronto, Ont.", News,3163310086,Historical essay on the NDP and the working class
175,Politics Insider: Trump tariffs paused for 30 days:   Trudeau announces tariffs will be paused as Canada and the U.S. work together on border issues,2025-02-03, The Globe and Mail (Online); Toronto, Politics,3162874711,Federal/US (Trudeau announces 30-day tariff pause)
176,What’s the latest in the Canada-U.S. tariff war? Updates and advice on what it means for your finances:   Donald Trump’s trade feud with Canada is upending the North American economy as we know it. Check back here for the latest developments and ideas on what you can do,2025-02-03, The Globe and Mail (Online); Toronto, Politics,3162833473,National Canada-US tariff war tracker
177,Market Factors: There’s only one thing for investors to do here:   Do nothing,2025-02-03, The Globe and Mail (Online); Toronto, Business,3162808096,Investing column (Market Factors)
178,"Tariffs live updates: Trump speaks with Trudeau, says American banks should be allowed to enter Canadian banking sector:   Trump also accused Canada of being “very tough on oil, on energy” in the first of two phone calls scheduled with Prime Minister Justin Trudeau today",2025-02-03, The Globe and Mail (Online); Toronto, National,3162779473,Federal/US tariff live updates (Trump-Trudeau calls)
180,Morning Update: Trump’s tariffs start tomorrow:   Also in today’s edition: The Rafah Crossing and Grammy winners,2025-02-03, The Globe and Mail (Online); Toronto, National,3162737329,"News digest (Trump tariffs, Rafah crossing, Grammys)"
181,A manifesto for Canadian voters in 2025 (and beyond):   This country needs to tackle critical issues in a changed world. Voters should beware electoral candidates who spout tired slogans and fight old battles,2025-02-03, The Globe and Mail (Online); Toronto, Other,3162737251,National editorial manifesto for Canadian voters (federal and provincial)
183,A manifesto for Canadian voters in 2025,2025-02-03," The Globe and Mail; Toronto, Ont.", Editorial,3162669738,National editorial manifesto for Canadian voters (federal and provincial)
185,"Despite its ‘unpromising and modest’ start, the Supreme Court of Canada has, over 150 years, made an indelible mark on our lives:   The court’s sesquicentennial will be marked by justices touring five cities, and will coincide with a landmark case about the limits of Canadians’ Charter rights",2025-02-02, The Globe and Mail (Online); Toronto, National,3162626398,National feature on the Supreme Court of Canada's 150 years
186,"The capital-gains tax hike is paused. What took so long?:   The CRA had planned to enforce the measure this tax season, though it wasn’t fully enacted",2025-02-01," The Globe and Mail; Toronto, Ont.", Report on Business,3163626198,Federal tax policy (capital-gains tax hike deferral)
187,"‘A declaration of economic war’: premiers react to U.S. tariffs:   Premiers had been meeting regularly with the Prime Minister to debate the response to U.S. President Donald Trump’s tariff threats, which he followed through with on Saturday",2025-02-01, The Globe and Mail (Online); Toronto, National,3162409917,National (premiers collectively react to US tariffs; federal-provincial)
